Banco de México,
,
Exchange rates and auctions historical information,
Tipos de cambio diarios,
,
Date: 03/02/2024 06:14:08,
,
,
,
Title,"Exchange rate pesos per US dollar, Used to settle liabilities denominated in foreign currency, Date of settlement"
Information type,Levels
Date,SF60653
03/03/2016,17.9432
03/04/2016,17.8561
03/05/2016,17.8971
03/06/2016,17.8971
03/07/2016,17.8971
03/08/2016,17.7723
03/09/2016,17.7526
03/10/2016,17.9044
03/11/2016,17.7523
03/12/2016,17.8601
03/13/2016,17.8601
03/14/2016,17.8601
03/15/2016,17.7002
03/16/2016,17.7691
03/17/2016,17.926
03/18/2016,17.9308
03/19/2016,17.4034
03/20/2016,17.4034
03/21/2016,17.4034
03/22/2016,17.4034
03/23/2016,17.2995
03/24/2016,17.3361
03/25/2016,17.3361
03/26/2016,17.3361
03/27/2016,17.3361
03/28/2016,17.3361
03/29/2016,17.5273
03/30/2016,17.461
03/31/2016,17.4015
04/01/2016,17.2509
04/02/2016,17.237
04/03/2016,17.237
04/04/2016,17.237
04/05/2016,17.3338
04/06/2016,17.4484
04/07/2016,17.7252
04/08/2016,17.7286
04/09/2016,17.893
04/10/2016,17.893
04/11/2016,17.893
04/12/2016,17.7391
04/13/2016,17.6452
04/14/2016,17.5719
04/15/2016,17.49
04/16/2016,17.388
04/17/2016,17.388
04/18/2016,17.388
04/19/2016,17.5669
04/20/2016,17.4598
04/21/2016,17.2825
04/22/2016,17.3078
04/23/2016,17.4202
04/24/2016,17.4202
04/25/2016,17.4202
04/26/2016,17.4359
04/27/2016,17.5866
04/28/2016,17.4298
04/29/2016,17.3993
04/30/2016,17.2125
05/01/2016,17.2125
05/02/2016,17.2125
05/03/2016,17.1767
05/04/2016,17.2279
05/05/2016,17.5234
05/06/2016,17.7358
05/07/2016,17.7866
05/08/2016,17.7866
05/09/2016,17.7866
05/10/2016,17.9204
05/11/2016,18.1033
05/12/2016,18.0205
05/13/2016,17.9549
05/14/2016,17.9915
05/15/2016,17.9915
05/16/2016,17.9915
05/17/2016,18.1562
05/18/2016,18.1795
05/19/2016,18.3217
05/20/2016,18.3761
05/21/2016,18.5465
05/22/2016,18.5465
05/23/2016,18.5465
05/24/2016,18.3826
05/25/2016,18.4444
05/26/2016,18.4694
05/27/2016,18.452
05/28/2016,18.4572
05/29/2016,18.4572
05/30/2016,18.4572
05/31/2016,18.4527
06/01/2016,18.4777
06/02/2016,18.4118
06/03/2016,18.5299
06/04/2016,18.6097
06/05/2016,18.6097
06/06/2016,18.6097
06/07/2016,18.6283
06/08/2016,18.5889
06/09/2016,18.5067
06/10/2016,18.1491
06/11/2016,18.2742
06/12/2016,18.2742
06/13/2016,18.2742
06/14/2016,18.5046
06/15/2016,18.7915
06/16/2016,18.9814
06/17/2016,18.8672
06/18/2016,18.9968
06/19/2016,18.9968
06/20/2016,18.9968
06/21/2016,18.8527
06/22/2016,18.6559
06/23/2016,18.6444
06/24/2016,18.5325
06/25/2016,18.3207
06/26/2016,18.3207
06/27/2016,18.3207
06/28/2016,18.8716
06/29/2016,19.1283
06/30/2016,18.9113
07/01/2016,18.555
07/02/2016,18.4646
07/03/2016,18.4646
07/04/2016,18.4646
07/05/2016,18.309
07/06/2016,18.3858
07/07/2016,18.7536
07/08/2016,18.8161
07/09/2016,18.8607
07/10/2016,18.8607
07/11/2016,18.8607
07/12/2016,18.5991
