Banco de México,
,
Securities prices and interest rates,
Tasas de Interés en el Mercado de Dinero,
,
Date: 03/02/2024 06:10:39,
,
,
,
Title,"28 day TIIE, Interest rate in annual percent"
Information type,Levels
Date,SF43783
01/27/2017,6.1475
01/30/2017,6.1537
01/31/2017,6.1525
02/01/2017,6.16
02/02/2017,6.1615
02/03/2017,6.1625
02/07/2017,6.1703
02/08/2017,6.1695
02/09/2017,6.1823
02/10/2017,6.1958
02/13/2017,6.585
02/14/2017,6.5871
02/15/2017,6.588
02/16/2017,6.595
02/17/2017,6.595
02/20/2017,6.595
02/21/2017,6.5965
02/22/2017,6.595
02/23/2017,6.59
02/24/2017,6.6
02/27/2017,6.603
02/28/2017,6.605
03/01/2017,6.6058
03/02/2017,6.6066
03/03/2017,6.6103
03/06/2017,6.6075
03/07/2017,6.6076
03/08/2017,6.6072
03/09/2017,6.605
03/10/2017,6.6064
03/13/2017,6.61
03/14/2017,6.62
03/15/2017,6.62
03/16/2017,6.6267
03/17/2017,6.6336
03/21/2017,6.6355
03/22/2017,6.6425
03/23/2017,6.6438
03/24/2017,6.6438
03/27/2017,6.6325
03/28/2017,6.6413
03/29/2017,6.66
03/30/2017,6.6693
03/31/2017,6.6796
04/03/2017,6.835
04/04/2017,6.8412
04/05/2017,6.849
04/06/2017,6.8448
04/07/2017,6.8524
04/10/2017,6.8492
04/11/2017,6.855
04/12/2017,6.8559
04/17/2017,6.86
04/18/2017,6.87
04/19/2017,6.8725
04/20/2017,6.8725
04/21/2017,6.88
04/24/2017,6.88
04/25/2017,6.886
04/26/2017,6.8929
04/27/2017,6.9013
04/28/2017,6.8925
05/02/2017,6.8935
05/03/2017,6.8954
05/04/2017,6.8967
05/05/2017,6.8952
05/08/2017,6.8947
05/09/2017,6.89
05/10/2017,6.8898
05/11/2017,6.893
05/12/2017,6.895
05/15/2017,6.8906
05/16/2017,6.8885
05/17/2017,6.8876
05/18/2017,6.8858
05/19/2017,6.8896
05/22/2017,7.0979
